date,city,pm25_mean,pm10_mean,aqi_max
2025-05-19,Toronto,5.895833333333333,7.05,34
2025-05-20,Toronto,3.8333333333333335,4.770833333333333,35
2025-05-21,Toronto,9.116666666666667,11.233333333333334,38
2025-05-22,Toronto,12.8375,13.433333333333332,53
2025-05-23,Toronto,14.1,16.729166666666668,54
2025-05-24,Toronto,19.758333333333333,23.041666666666668,66
2025-05-25,Toronto,13.325000000000001,17.375,67
2025-05-26,Toronto,8.8125,13.633333333333333,53
2025-05-27,Toronto,13.629166666666668,17.220833333333335,52
2025-05-28,Toronto,13.8375,15.945833333333333,75
2025-05-29,Toronto,6.758333333333333,8.054166666666667,54
2025-05-30,Toronto,12.908333333333333,14.695833333333333,51
2025-05-31,Toronto,13.3375,15.216666666666667,58
2025-06-01,Toronto,8.6,9.845833333333333,53
2025-06-02,Toronto,16.841666666666665,19.054166666666667,60
2025-06-03,Toronto,18.358333333333334,20.345833333333335,67
2025-06-04,Toronto,15.570833333333333,17.075,64
2025-06-05,Toronto,21.091666666666665,22.6125,70
2025-06-06,Toronto,20.9375,23.787499999999998,70
2025-06-07,Toronto,16.920833333333334,19.129166666666666,69
2025-06-08,Toronto,18.166666666666668,19.625,104
2025-06-09,Toronto,15.575000000000001,16.954166666666666,77
2025-06-10,Toronto,17.625,19.904166666666665,63
2025-06-11,Toronto,19.70416666666667,21.791666666666668,69
2025-06-12,Toronto,11.883333333333333,14.316666666666668,66
2025-06-13,Toronto,13.862499999999999,16.175,56
2025-06-14,Toronto,11.704166666666666,14.1625,54
2025-06-15,Toronto,17.295833333333334,19.454166666666666,60
2025-06-16,Toronto,17.912499999999998,19.587500000000002,73
2025-06-17,Toronto,10.683333333333332,13.15,63
2025-06-18,Toronto,10.904166666666667,14.204166666666666,54
2025-06-19,Toronto,10.458333333333334,13.0625,45
2025-06-20,Toronto,10.766666666666666,13.458333333333334,48
2025-06-21,Toronto,6.966666666666666,7.929166666666667,45
2025-06-22,Toronto,18.195833333333333,19.208333333333332,62
2025-06-23,Toronto,23.941666666666666,25.445833333333336,79
2025-06-24,Toronto,26.691666666666666,27.4375,83
2025-06-25,Toronto,13.358333333333334,14.441666666666668,81
2025-06-26,Toronto,9.545833333333333,11.225,53
2025-06-27,Toronto,8.541666666666666,10.3125,41
2025-06-28,Toronto,13.170833333333334,14.8375,52
2025-06-29,Toronto,16.491666666666667,16.925,59
2025-06-30,Toronto,17.891666666666666,18.150000000000002,101
2025-07-01,Toronto,13.604166666666666,13.6625,70
2025-07-02,Toronto,6.6499999999999995,7.220833333333332,53
2025-07-03,Toronto,6.4624999999999995,7.604166666666667,35
2025-07-04,Toronto,14.270833333333334,14.795833333333334,55
2025-07-05,Toronto,8.716666666666667,10.245833333333334,55
2025-07-06,Toronto,20.454166666666666,21.766666666666666,67
2025-07-07,Toronto,20.770833333333332,21.691666666666666,73
2025-07-08,Toronto,11.066666666666668,11.625,69
2025-07-09,Toronto,6.4875,6.958333333333333,46
2025-07-10,Toronto,9.779166666666667,11.008333333333333,41
2025-07-11,Toronto,20.358333333333334,21.266666666666666,70
2025-07-12,Toronto,15.254166666666668,15.679166666666667,68
2025-07-13,Toronto,13.358333333333334,13.454166666666666,57
2025-07-14,Toronto,9.779166666666667,9.924999999999999,53
2025-07-15,Toronto,15.3375,15.6625,64
2025-07-16,Toronto,15.5625,15.720833333333333,99
2025-07-17,Toronto,14.762500000000001,15.225,86
2025-07-18,Toronto,12.329166666666666,13.204166666666666,59
2025-07-19,Toronto,6.879166666666666,8.291666666666666,51
2025-07-20,Toronto,8.075000000000001,8.820833333333333,41
2025-07-21,Toronto,16.741666666666667,16.954166666666666,65
2025-07-22,Toronto,11.320833333333333,12.233333333333334,60
2025-07-23,Toronto,13.125,13.525,54
2025-07-24,Toronto,10.966666666666667,11.108333333333334,53
2025-07-25,Toronto,7.1375,7.5625,46
2025-07-26,Toronto,12.370833333333335,12.783333333333333,53
2025-07-27,Toronto,10.079166666666667,10.229166666666666,51
2025-07-28,Toronto,11.370833333333332,11.4375,48
2025-07-29,Toronto,18.8125,18.829166666666666,113
2025-07-30,Toronto,21.545833333333334,21.599999999999998,112
2025-07-31,Toronto,15.245833333333332,15.445833333333333,96
2025-08-01,Toronto,6.1000000000000005,6.425,57
2025-08-02,Toronto,5.516666666666667,5.6125,27
2025-08-03,Toronto,10.604166666666666,11.375,42
2025-08-04,Toronto,13.620833333333332,14.720833333333333,56
2025-08-05,Toronto,10.829166666666666,12.829166666666666,53
2025-08-06,Toronto,9.008333333333333,10.029166666666667,51
2025-08-07,Toronto,6.391666666666667,7.316666666666666,38
2025-08-08,Toronto,9.7875,10.629166666666666,40
2025-08-09,Toronto,19.370833333333334,19.870833333333334,65
2025-08-10,Toronto,21.570833333333336,22.25,76
2025-08-11,Toronto,14.683333333333332,14.875,70
2025-08-12,Toronto,9.529166666666667,9.654166666666667,56
2025-08-13,Toronto,33.104166666666664,33.62916666666667,93
2025-08-14,Toronto,13.450000000000001,14.329166666666667,97
2025-08-15,Toronto,10.558333333333334,10.725,59
2025-08-16,Toronto,4.7,5.8125,44
2025-08-17,Toronto,9.200000000000001,11.9375,37
2025-08-18,Toronto,17.116666666666667,20.670833333333334,60
2025-08-19,Toronto,18.716666666666665,20.754166666666666,66
2025-08-20,Toronto,16.008333333333333,16.920833333333334,66
2025-08-21,Toronto,17.345833333333335,17.729166666666668,62
2025-08-22,Toronto,16.108333333333334,16.3,72
2025-08-23,Toronto,14.991666666666667,15.120833333333332,84
2025-08-24,Toronto,21.229166666666668,21.3875,157
2025-08-25,Toronto,32.61666666666667,32.875,185
2025-08-26,Toronto,42.975,43.275,205
2025-08-27,Toronto,27.05,27.71666666666667,169
2025-08-28,Toronto,22.662499999999998,23.883333333333336,82
2025-08-29,Toronto,25.7625,26.599999999999998,80
2025-08-30,Toronto,21.875,22.604166666666668,79
2025-08-31,Toronto,32.12916666666667,32.545833333333334,91
2025-09-01,Toronto,29.3125,29.983333333333334,103
2025-09-02,Toronto,27.391666666666666,27.858333333333334,87
2025-09-03,Toronto,39.916666666666664,40.35,166
2025-09-04,Toronto,39.00833333333333,39.737500000000004,128
2025-09-05,Toronto,48.5625,50.208333333333336,132
2025-09-06,Toronto,41.7875,43.112500000000004,146
2025-09-07,Toronto,18.891666666666666,19.929166666666667,116
2025-09-08,Toronto,15.066666666666668,15.845833333333333,65
2025-09-09,Toronto,22.537499999999998,22.954166666666666,74
2025-09-10,Toronto,20.787499999999998,20.866666666666667,73
2025-09-11,Toronto,19.245833333333334,19.533333333333335,69
2025-09-12,Toronto,11.779166666666667,12.4625,65
2025-09-13,Toronto,16.945833333333333,18.066666666666666,60
2025-09-14,Toronto,13.970833333333333,15.174999999999999,64
2025-09-15,Toronto,10.004166666666666,11.670833333333334,54
2025-09-16,Toronto,17.462500000000002,18.145833333333332,62
2025-09-17,Toronto,11.75,12.533333333333333,62
2025-09-18,Toronto,14.5625,15.6625,56
2025-09-19,Toronto,19.675,20.429166666666667,65
2025-09-20,Toronto,19.445833333333333,21.129166666666666,75
2025-09-21,Toronto,8.041666666666666,9.691666666666666,66
2025-09-22,Toronto,14.966666666666667,18.1375,55
2025-09-23,Toronto,18.083333333333332,20.650000000000002,63
2025-09-24,Toronto,19.320833333333333,20.154166666666665,69
2025-09-25,Toronto,15.341666666666667,16.154166666666665,66
2025-09-26,Toronto,10.654166666666667,13.979166666666666,57
2025-09-27,Toronto,11.950000000000001,14.0625,48
2025-09-28,Toronto,13.5875,14.341666666666667,54
2025-09-29,Toronto,7.816666666666666,8.404166666666667,53
2025-09-30,Toronto,4.958333333333333,5.6625000000000005,36
2025-10-01,Toronto,3.8333333333333335,4.733333333333333,34
2025-10-02,Toronto,8.629166666666666,10.529166666666667,33
2025-10-03,Toronto,17.404166666666665,20.2375,61
2025-10-04,Toronto,20.579166666666666,23.59166666666667,71
2025-10-05,Toronto,12.858333333333334,13.4375,68
2025-10-06,Toronto,14.525,14.741666666666667,55
2025-10-07,Toronto,19.079166666666666,19.195833333333333,64
2025-10-08,Toronto,13.820833333333333,15.541666666666666,69
2025-10-09,Toronto,8.720833333333333,9.424999999999999,54
2025-10-10,Toronto,13.0625,13.933333333333332,52
2025-10-11,Toronto,9.583333333333334,10.854166666666666,55
